"sales_order_id";"sales_order_detail_id";"sales_detail_item";"items_per_order";"order_qty";"product_id";"unit_price";"percentage_discount"
"43697";"353";"1";"1";"1";"749";"3578.2700";"0.0000"
"43698";"354";"1";"1";"1";"773";"3399.9900";"0.0000"
"43699";"355";"1";"1";"1";"773";"3399.9900";"0.0000"
"43700";"356";"1";"1";"1";"767";"699.0982";"0.0000"
"43701";"357";"1";"1";"1";"773";"3399.9900";"0.0000"
"43702";"358";"1";"1";"1";"750";"3578.2700";"0.0000"
"43703";"359";"1";"1";"1";"749";"3578.2700";"0.0000"
"43704";"360";"1";"1";"1";"778";"3374.9900";"0.0000"
"43705";"361";"1";"1";"1";"771";"3399.9900";"0.0000"
"43706";"362";"1";"1";"1";"751";"3578.2700";"0.2000"
"43707";"363";"1";"1";"1";"751";"3578.2700";"0.1000"
"43708";"364";"1";"1";"1";"764";"699.0982";"0.1000"
"43709";"365";"1";"1";"1";"752";"3578.2700";"0.0000"
"43710";"366";"1";"1";"1";"753";"3578.2700";"0.0000"
"43711";"367";"1";"1";"1";"753";"3578.2700";"0.0000"
"43712";"368";"1";"1";"1";"750";"3578.2700";"0.0000"
"43713";"369";"1";"1";"1";"749";"3578.2700";"0.0000"
"43714";"370";"1";"1";"1";"750";"3578.2700";"0.0000"
"43715";"371";"1";"1";"1";"753";"3578.2700";"0.0000"
"43716";"372";"1";"1";"1";"750";"3578.2700";"0.0000"
"43717";"373";"1";"1";"1";"767";"699.0982";"0.1500"
"43718";"374";"1";"1";"1";"750";"3578.2700";"0.0000"
"43719";"375";"1";"1";"1";"751";"3578.2700";"0.0000"
"43720";"376";"1";"1";"1";"750";"3578.2700";"0.2000"
"43721";"377";"1";"1";"1";"749";"3578.2700";"0.0000"
"43722";"378";"1";"1";"1";"751";"3578.2700";"0.0500"
"43723";"379";"1";"1";"1";"765";"699.0982";"0.0000"
"43724";"380";"1";"1";"1";"750";"3578.2700";"0.1500"
"43725";"381";"1";"1";"1";"750";"3578.2700";"0.0000"
"43726";"382";"1";"1";"1";"765";"699.0982";"0.0000"
"43727";"383";"1";"1";"1";"750";"3578.2700";"0.0500"
"43728";"384";"1";"1";"1";"752";"3578.2700";"0.0000"
"43729";"385";"1";"1";"1";"773";"3399.9900";"0.1000"
"43730";"386";"1";"1";"1";"773";"3399.9900";"0.0500"
"43731";"387";"1";"1";"1";"753";"3578.2700";"0.0500"
"43732";"388";"1";"1";"1";"777";"3374.9900";"0.1500"
"43733";"389";"1";"1";"1";"751";"3578.2700";"0.1500"
"43734";"390";"1";"1";"1";"751";"3578.2700";"0.0500"
"43735";"391";"1";"1";"1";"749";"3578.2700";"0.1500"
"43736";"392";"1";"1";"1";"773";"3399.9900";"0.0000"
"43737";"393";"1";"1";"1";"750";"3578.2700";"0.2000"
"43738";"394";"1";"1";"1";"751";"3578.2700";"0.1000"
"43739";"395";"1";"1";"1";"749";"3578.2700";"0.0000"
"43740";"396";"1";"1";"1";"751";"3578.2700";"0.0000"
"43741";"397";"1";"1";"1";"749";"3578.2700";"0.0000"
"43742";"398";"1";"1";"1";"753";"3578.2700";"0.0500"
"43743";"399";"1";"1";"1";"774";"3399.9900";"0.1500"
"43744";"400";"1";"1";"1";"752";"3578.2700";"0.0000"
"43745";"401";"1";"1";"1";"750";"3578.2700";"0.1500"
"43746";"402";"1";"1";"1";"751";"3578.2700";"0.0000"
"43747";"403";"1";"1";"1";"753";"3578.2700";"0.0000"
"43748";"404";"1";"1";"1";"752";"3578.2700";"0.0000"
"43749";"405";"1";"1";"1";"753";"3578.2700";"0.0000"
"43750";"406";"1";"1";"1";"750";"3578.2700";"0.0000"
"43751";"407";"1";"1";"1";"752";"3578.2700";"0.2000"
"43752";"408";"1";"1";"1";"750";"3578.2700";"0.0000"
"43753";"409";"1";"1";"1";"749";"3578.2700";"0.1000"
"43754";"410";"1";"1";"1";"751";"3578.2700";"0.0000"
"43755";"411";"1";"1";"1";"750";"3578.2700";"0.0000"
"43756";"412";"1";"1";"1";"765";"699.0982";"0.0000"
"43757";"413";"1";"1";"1";"777";"3374.9900";"0.0000"
"43758";"414";"1";"1";"1";"749";"3578.2700";"0.0000"
"43759";"415";"1";"1";"1";"749";"3578.2700";"0.2000"
"43760";"416";"1";"1";"1";"753";"3578.2700";"0.0000"
"43761";"417";"1";"1";"1";"749";"3578.2700";"0.0500"
"43762";"418";"1";"1";"1";"753";"3578.2700";"0.1000"
"43763";"419";"1";"1";"1";"752";"3578.2700";"0.0000"
"43764";"420";"1";"1";"1";"749";"3578.2700";"0.0000"
"43765";"421";"1";"1";"1";"773";"3399.9900";"0.0000"
"43766";"422";"1";"1";"1";"752";"3578.2700";"0.1500"
"43767";"423";"1";"1";"1";"777";"3374.9900";"0.2000"
"43768";"424";"1";"1";"1";"751";"3578.2700";"0.0000"
