"sales_order_id";"order_date";"ship_date";"due_date";"customer_id";"tax_amount";"freight"
"43697";"2022-12-06";"2022-12-13";"2022-12-18";"21768";"286.2616";"89.4568"
"43698";"2022-12-06";"2022-12-13";"2022-12-18";"28389";"271.9992";"84.9998"
"43699";"2022-12-06";"2022-12-13";"2022-12-18";"25863";"271.9992";"84.9998"
"43700";"2022-12-06";"2022-12-13";"2022-12-18";"14501";"55.9279";"17.4775"
"43701";"2022-12-06";"2022-12-13";"2022-12-18";"11003";"271.9992";"84.9998"
"43702";"2022-12-07";"2022-12-14";"2022-12-19";"27645";"286.2616";"89.4568"
"43703";"2022-12-07";"2022-12-14";"2022-12-19";"16624";"286.2616";"89.4568"
"43704";"2022-12-07";"2022-12-14";"2022-12-19";"11005";"269.9992";"84.3748"
"43705";"2022-12-07";"2022-12-14";"2022-12-19";"11011";"271.9992";"84.9998"
"43706";"2022-12-08";"2022-12-15";"2022-12-20";"27621";"286.2616";"89.4568"
"43707";"2022-12-08";"2022-12-15";"2022-12-20";"27616";"286.2616";"89.4568"
"43708";"2022-12-08";"2022-12-15";"2022-12-20";"20042";"55.9279";"17.4775"
"43709";"2022-12-08";"2022-12-15";"2022-12-20";"16351";"286.2616";"89.4568"
"43710";"2022-12-08";"2022-12-15";"2022-12-20";"16517";"286.2616";"89.4568"
"43711";"2022-12-09";"2022-12-16";"2022-12-21";"27606";"286.2616";"89.4568"
"43712";"2022-12-09";"2022-12-16";"2022-12-21";"13513";"286.2616";"89.4568"
"43713";"2022-12-10";"2022-12-17";"2022-12-22";"27601";"286.2616";"89.4568"
"43714";"2022-12-10";"2022-12-17";"2022-12-22";"13591";"286.2616";"89.4568"
"43715";"2022-12-10";"2022-12-17";"2022-12-22";"16483";"286.2616";"89.4568"
"43716";"2022-12-10";"2022-12-17";"2022-12-22";"16529";"286.2616";"89.4568"
"43717";"2022-12-10";"2022-12-17";"2022-12-22";"25249";"55.9279";"17.4775"
"43718";"2022-12-11";"2022-12-18";"2022-12-23";"27668";"286.2616";"89.4568"
"43719";"2022-12-11";"2022-12-18";"2022-12-23";"27612";"286.2616";"89.4568"
"43720";"2022-12-11";"2022-12-18";"2022-12-23";"13264";"286.2616";"89.4568"
"43721";"2022-12-11";"2022-12-18";"2022-12-23";"13590";"286.2616";"89.4568"
"43722";"2022-12-12";"2022-12-19";"2022-12-24";"13581";"286.2616";"89.4568"
"43723";"2022-12-12";"2022-12-19";"2022-12-24";"14520";"55.9279";"17.4775"
"43724";"2022-12-12";"2022-12-19";"2022-12-24";"16520";"286.2616";"89.4568"
"43725";"2022-12-13";"2022-12-20";"2022-12-25";"13258";"286.2616";"89.4568"
"43726";"2022-12-13";"2022-12-20";"2022-12-25";"14560";"55.9279";"17.4775"
"43727";"2022-12-13";"2022-12-20";"2022-12-25";"16607";"286.2616";"89.4568"
"43728";"2022-12-14";"2022-12-21";"2022-12-26";"27666";"286.2616";"89.4568"
"43729";"2022-12-14";"2022-12-21";"2022-12-26";"11238";"271.9992";"84.9998"
"43730";"2022-12-14";"2022-12-21";"2022-12-26";"25861";"271.9992";"84.9998"
"43731";"2022-12-14";"2022-12-21";"2022-12-26";"16629";"286.2616";"89.4568"
"43732";"2022-12-14";"2022-12-21";"2022-12-26";"11025";"269.9992";"84.3748"
"43733";"2022-12-14";"2022-12-21";"2022-12-26";"27577";"286.2616";"89.4568"
"43734";"2022-12-15";"2022-12-22";"2022-12-27";"27604";"286.2616";"89.4568"
"43735";"2022-12-15";"2022-12-22";"2022-12-27";"16522";"286.2616";"89.4568"
"43736";"2022-12-15";"2022-12-22";"2022-12-27";"11002";"271.9992";"84.9998"
"43737";"2022-12-16";"2022-12-23";"2022-12-28";"13261";"286.2616";"89.4568"
