"sales_order_id";"order_date";"ship_date";"due_date";"customer_id";"tax_amount";"freight"
"75030";"2026-01-03";"2026-01-10";"2026-01-15";"12038";"1.9992";"0.6248"
"75031";"2026-01-03";"2026-01-10";"2026-01-15";"24306";"0.5824";"0.1820"
"75032";"2026-01-03";"2026-01-10";"2026-01-15";"25817";"0.5824";"0.1820"
"75033";"2026-01-03";"2026-01-10";"2026-01-15";"16175";"3.1184";"0.9745"
"75034";"2026-01-03";"2026-01-10";"2026-01-15";"11118";"0.6360";"0.1988"
"75035";"2026-01-03";"2026-01-10";"2026-01-15";"15263";"0.7192";"0.2248"
"75036";"2026-01-03";"2026-01-10";"2026-01-15";"11711";"5.0384";"1.5745"
"75037";"2026-01-03";"2026-01-10";"2026-01-15";"15761";"0.3192";"0.0998"
"75038";"2026-01-03";"2026-01-10";"2026-01-15";"11185";"6.3576";"1.9868"
"75039";"2026-01-03";"2026-01-10";"2026-01-15";"25908";"2.1824";"0.6820"
"75040";"2026-01-03";"2026-01-10";"2026-01-15";"14079";"3.1104";"0.9720"
"75041";"2026-01-03";"2026-01-10";"2026-01-15";"18926";"12.1824";"3.8070"
"75042";"2026-01-03";"2026-01-10";"2026-01-15";"22356";"3.9976";"1.2493"
"75043";"2026-01-03";"2026-01-10";"2026-01-15";"20365";"5.5992";"1.7498"
"75044";"2026-01-03";"2026-01-10";"2026-01-15";"20473";"1.1984";"0.3745"
"75045";"2026-01-03";"2026-01-10";"2026-01-15";"18674";"9.9184";"3.0995"
"75046";"2026-01-03";"2026-01-10";"2026-01-15";"20298";"5.5992";"1.7498"
"75047";"2026-01-03";"2026-01-10";"2026-01-15";"17584";"3.1984";"0.9995"
"75048";"2026-01-03";"2026-01-10";"2026-01-15";"18774";"10.6376";"3.3243"
"75049";"2026-01-03";"2026-01-10";"2026-01-15";"25066";"1.2184";"0.3808"
"75050";"2026-01-03";"2026-01-10";"2026-01-15";"21364";"0.5824";"0.1820"
"75051";"2026-01-03";"2026-01-10";"2026-01-15";"15300";"0.3992";"0.1248"
"75052";"2026-01-03";"2026-01-10";"2026-01-15";"16303";"11.9984";"3.7495"
"75053";"2026-01-03";"2026-01-10";"2026-01-15";"14933";"2.9568";"0.9240"
"75054";"2026-01-03";"2026-01-10";"2026-01-15";"17851";"3.9584";"1.2370"
"75055";"2026-01-03";"2026-01-10";"2026-01-15";"20134";"11.9184";"3.7245"
"75056";"2026-01-03";"2026-01-10";"2026-01-15";"26369";"4.3192";"1.3498"
"75057";"2026-01-03";"2026-01-10";"2026-01-15";"25802";"4.8376";"1.5118"
"75058";"2026-01-03";"2026-01-10";"2026-01-15";"12643";"7.5176";"2.3493"
"75059";"2026-01-03";"2026-01-10";"2026-01-15";"13338";"9.7552";"3.0485"
"75060";"2026-01-03";"2026-01-10";"2026-01-15";"14514";"11.3584";"3.5495"
